,STATION,DATE,DAILY_ENTRIES,day_of_week
0,1 AV,08/17/2019,6208.0,Saturday
1,1 AV,08/18/2019,4367.0,Sunday
2,1 AV,08/19/2019,14726.0,Monday
3,1 AV,08/20/2019,15737.0,Tuesday
4,1 AV,08/21/2019,15953.0,Wednesday
5,1 AV,08/22/2019,16260.0,Thursday
6,1 AV,08/23/2019,16765.0,Friday
7,1 AV,08/24/2019,6260.0,Saturday
8,1 AV,08/25/2019,4463.0,Sunday
9,1 AV,08/26/2019,14736.0,Monday
10,1 AV,08/27/2019,15819.0,Tuesday
11,1 AV,08/28/2019,15969.0,Wednesday
12,1 AV,08/29/2019,16465.0,Thursday
13,1 AV,08/30/2019,13850.0,Friday
14,1 AV,08/31/2019,4995.0,Saturday
15,1 AV,09/01/2019,4169.0,Sunday
16,1 AV,09/02/2019,3657.0,Monday
17,1 AV,09/03/2019,15620.0,Tuesday
18,1 AV,09/04/2019,16739.0,Wednesday
19,1 AV,09/05/2019,18923.0,Thursday
20,1 AV,09/06/2019,19652.0,Friday
21,1 AV,09/07/2019,6833.0,Saturday
22,1 AV,09/08/2019,5195.0,Sunday
23,1 AV,09/09/2019,17826.0,Monday
24,1 AV,09/10/2019,18577.0,Tuesday
25,1 AV,09/11/2019,18863.0,Wednesday
26,1 AV,09/12/2019,19204.0,Thursday
27,1 AV,09/13/2019,19929.0,Friday
28,1 AV,09/14/2019,20.0,Saturday
29,1 AV,09/15/2019,31.0,Sunday
30,1 AV,09/16/2019,17446.0,Monday
31,1 AV,09/17/2019,18830.0,Tuesday
32,1 AV,09/18/2019,18715.0,Wednesday
33,1 AV,09/19/2019,19167.0,Thursday
34,103 ST,08/17/2019,13213.0,Saturday
35,103 ST,08/18/2019,10406.0,Sunday
36,103 ST,08/19/2019,25515.0,Monday
37,103 ST,08/20/2019,27209.0,Tuesday
38,103 ST,08/21/2019,27428.0,Wednesday
39,103 ST,08/22/2019,27375.0,Thursday
40,103 ST,08/23/2019,26570.0,Friday
41,103 ST,08/24/2019,14027.0,Saturday
42,103 ST,08/25/2019,11466.0,Sunday
43,103 ST,08/26/2019,25143.0,Monday
44,103 ST,08/27/2019,26848.0,Tuesday
45,103 ST,08/28/2019,27047.0,Wednesday
46,103 ST,08/29/2019,27184.0,Thursday
47,103 ST,08/30/2019,26822.0,Friday
48,103 ST,08/31/2019,16503.0,Saturday
49,103 ST,09/01/2019,14380.0,Sunday
50,103 ST,09/02/2019,13606.0,Monday
51,103 ST,09/03/2019,28188.0,Tuesday
52,103 ST,09/04/2019,29119.0,Wednesday
53,103 ST,09/05/2019,31331.0,Thursday
54,103 ST,09/06/2019,31373.0,Friday
55,103 ST,09/07/2019,18789.0,Saturday
56,103 ST,09/08/2019,14740.0,Sunday
57,103 ST,09/09/2019,30568.0,Monday
58,103 ST,09/10/2019,32294.0,Tuesday
59,103 ST,09/11/2019,32908.0,Wednesday
60,103 ST,09/12/2019,32644.0,Thursday
61,103 ST,09/13/2019,33211.0,Friday
62,103 ST,09/14/2019,18897.0,Saturday
63,103 ST,09/15/2019,16357.0,Sunday
64,103 ST,09/16/2019,30223.0,Monday
65,103 ST,09/17/2019,32656.0,Tuesday
66,103 ST,09/18/2019,32563.0,Wednesday
67,103 ST,09/19/2019,33113.0,Thursday
68,103 ST-CORONA,08/17/2019,13702.0,Saturday
69,103 ST-CORONA,08/18/2019,10575.0,Sunday
70,103 ST-CORONA,08/19/2019,18436.0,Monday
71,103 ST-CORONA,08/20/2019,18623.0,Tuesday
72,103 ST-CORONA,08/21/2019,18777.0,Wednesday
73,103 ST-CORONA,08/22/2019,19127.0,Thursday
74,103 ST-CORONA,08/23/2019,19274.0,Friday
75,103 ST-CORONA,08/24/2019,14561.0,Saturday
76,103 ST-CORONA,08/25/2019,11236.0,Sunday
77,103 ST-CORONA,08/26/2019,17167.0,Monday
78,103 ST-CORONA,08/27/2019,19102.0,Tuesday
